0,8281,111.0439987,30.8327007
1,8282,111.0439987,30.8327007
2,8246,111.0429993,30.8346996
3,8144,111.0419998,30.8330994
4,8186,111.0419998,30.8370991
5,8188,111.0419998,30.8369999
6,8078,111.0400009,30.8363991
7,8081,111.0400009,30.8362999
8,7628,111.0319977,30.8355007
9,7674,111.0329971,30.8367004
10,7855,111.0360031,30.8362007
11,7863,111.0360031,30.8362999
12,7205,111.0250015,30.8358994
13,7188,111.0250015,30.8341007
14,7200,111.0250015,30.8344002
15,6063,111.0149994,30.8360996
16,5909,111.0139999,30.8337994
17,6156,111.0159988,30.8320999
18,6361,111.0179977,30.8316002
19,6456,111.0189972,30.8290005
20,6683,111.0199966,30.8281002
21,6942,111.0220032,30.8271008
22,7048,111.0230026,30.8267994
23,6778,111.0210037,30.8251991
24,7059,111.0230026,30.8241997
25,7261,111.0260010,30.8244991
26,7331,111.0270004,30.8248997
